trade_id,symbol,segment,strategy_name,direction,entry_time,exit_time,quantity,entry_price,exit_price,stop_loss,target,score,confidence,risk_amount,risk_percent,gross_pnl,net_pnl,charges,exit_reason,trade_duration_seconds,status
1,INFY,NSE,MultiFactor,SHORT,2026-06-18T09:15:04.345138,2026-06-18T09:15:05.206767,87,1142.9,1134.4,1143.92,1140.87,-60.0,MEDIUM,500.0,0.5,739.5,739.5,0.0,TARGET,0,CLOSED
2,TCS,NSE,MultiFactor,SHORT,2026-06-18T09:15:04.374137,2026-06-18T09:15:05.213766,45,2209.0,2199.9,2209.96,2207.08,-60.0,MEDIUM,500.0,0.5,409.499999999996,409.499999999996,0.0,TARGET,0,CLOSED
3,RELIANCE,NSE,MultiFactor,SHORT,2026-06-18T09:15:04.396136,2026-06-18T09:15:05.217766,75,1330.0,1332.3,1330.19,1329.63,-60.0,MEDIUM,500.0,0.5,-172.499999999997,-172.499999999997,0.0,STOP_LOSS,0,CLOSED
4,HDFCBANK,NSE,MultiFactor,SHORT,2026-06-18T09:15:04.419136,2026-06-18T09:15:05.222768,127,786.5,788.3,786.54,786.42,-60.0,MEDIUM,500.0,0.5,-228.599999999994,-228.599999999994,0.0,STOP_LOSS,0,CLOSED
5,HDFCBANK,NSE,MultiFactor,LONG,2026-06-18T09:16:00.237590,2026-06-18T09:16:12.077599,126,788.35,789.5,787.87,789.31,60.0,MEDIUM,500.0,0.5,144.899999999997,144.899999999997,0.0,TARGET,11,CLOSED
6,RELIANCE,NSE,MultiFactor,SHORT,2026-06-18T09:16:00.257040,2026-06-18T09:16:01.941764,75,1328.0,1329.3,1328.83,1326.35,-60.0,MEDIUM,500.0,0.5,-97.4999999999966,-97.4999999999966,0.0,STOP_LOSS,1,CLOSED
7,TCS,NSE,MultiFactor,SHORT,2026-06-18T09:16:00.739441,2026-06-18T09:16:16.146515,45,2196.2,2197.0,2198.88,2190.84,-50.0,MEDIUM,250.0,0.25,-36.0000000000082,-36.0000000000082,0.0,STOP_LOSS,15,CLOSED
8,RELIANCE,NSE,MultiFactor,SHORT,2026-06-18T09:17:00.246938,2026-06-18T09:22:02.521658,75,1327.5,1327.5,1328.46,1325.58,-50.0,MEDIUM,250.0,0.25,0.0,0.0,0.0,STOP_LOSS,302,CLOSED
9,HDFCBANK,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:17:00.527422,2026-06-18T09:17:49.523802,126,789.9,791.4,789.23,791.25,70.0,HIGH,500.0,0.5,189.0,189.0,0.0,TARGET,48,CLOSED
10,HDFCBANK,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:18:00.544698,2026-06-18T09:24:28.814459,126,791.2,792.95,790.33,792.94,80.0,HIGH,625.0,0.625,220.5,220.5,0.0,TARGET,388,CLOSED
11,TCS,NSE,MultiFactor,SHORT,2026-06-18T09:24:00.381458,2026-06-18T09:30:25.064907,45,2191.8,2196.9,2196.2,2182.99,-60.0,MEDIUM,500.0,0.5,-229.499999999996,-229.499999999996,0.0,STOP_LOSS,384,CLOSED
12,HDFCBANK,NSE,MultiFactor,LONG,2026-06-18T09:25:00.522351,2026-06-18T09:34:30.329895,126,792.65,792.65,791.74,794.48,60.0,MEDIUM,500.0,0.5,0.0,0.0,0.0,STOP_LOSS,569,CLOSED
13,RELIANCE,NSE,MultiFactor,SHORT,2026-06-18T09:26:04.612827,2026-06-18T09:36:42.589802,75,1327.2,1324.2,1328.49,1324.61,-60.0,MEDIUM,500.0,0.5,225.0,225.0,0.0,TARGET,637,CLOSED
14,INFY,NSE,MultiFactor,SHORT,2026-06-18T09:35:00.197498,2026-06-18T09:45:31.801707,78,1128.6,1130.4,1131.78,1122.24,-50.0,MEDIUM,250.0,0.25,-140.400000000014,-140.400000000014,0.0,SYSTEM_SHUTDOWN,631,CLOSED
15,HDFCBANK,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:35:00.211180,2026-06-18T09:39:59.963898,126,792.65,794.7,791.67,794.6,80.0,HIGH,625.0,0.625,258.300000000009,258.300000000009,0.0,TARGET,299,CLOSED
16,TCS,NSE,MultiFactor,SHORT,2026-06-18T09:35:00.230256,2026-06-18T09:36:08.106538,45,2192.7,2197.1,2197.08,2183.93,-60.0,MEDIUM,500.0,0.5,-198.000000000004,-198.000000000004,0.0,STOP_LOSS,67,CLOSED
17,HDFCBANK,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:40:00.187931,2026-06-18T09:42:24.259853,125,794.7,796.75,793.69,796.72,80.0,HIGH,625.0,0.625,256.249999999994,256.249999999994,0.0,TARGET,144,CLOSED
18,HDFCBANK,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:43:00.126417,2026-06-18T09:45:31.804705,125,797.2,798.5,796.04,799.52,80.0,HIGH,625.0,0.625,162.499999999994,162.499999999994,0.0,SYSTEM_SHUTDOWN,151,CLOSED
19,RELIANCE,NSE,MultiFactor,STRONG_LONG,2026-06-18T09:43:03.661088,2026-06-18T09:44:07.593106,75,1328.1,1326.6,1326.67,1330.95,80.0,HIGH,625.0,0.625,-112.5,-112.5,0.0,STOP_LOSS,63,CLOSED
20,GRASIM,NSE,MultiFactor,LONG,2026-06-18T10:01:00.395386,2026-06-18T10:11:51.085386,32,3123.0,3118.0,3118.97,3131.06,60.0,MEDIUM,500.0,0.5,-160.0,-160.0,0.0,STOP_LOSS,650,CLOSED
21,INFY,NSE,MultiFactor,LONG,2026-06-18T10:01:00.470098,2026-06-18T10:10:06.624727,88,1132.1,1135.5,1130.43,1135.44,60.0,MEDIUM,500.0,0.5,299.200000000008,299.200000000008,0.0,TARGET,546,CLOSED
22,TRENT,NSE,MultiFactor,LONG,2026-06-18T10:01:00.642142,2026-06-18T10:13:44.253665,31,3167.2,3152.3,3155.31,3190.99,60.0,MEDIUM,500.0,0.5,-461.899999999989,-461.899999999989,0.0,STOP_LOSS,763,CLOSED
23,EICHERMOT,NSE,MultiFactor,LONG,2026-06-18T10:01:00.877352,2026-06-18T10:04:34.740144,13,7597.0,7625.0,7583.07,7624.86,60.0,MEDIUM,500.0,0.5,364.0,364.0,0.0,TARGET,213,CLOSED
24,TCS,NSE,MultiFactor,LONG,2026-06-18T10:01:01.079493,2026-06-18T10:09:02.299066,45,2200.0,2205.6,2197.62,2204.76,60.0,MEDIUM,500.0,0.5,251.999999999996,251.999999999996,0.0,TARGET,481,CLOSED
